image,category,pred1,pred2,diff,lon,lat
Bến Tre City-635.jpeg,0,0.8607364,0.94863343,0.08789703000000004,10.251584807177524N,106.4036170923903E
Mỹ Tho-849.jpeg,0,0.79918486,0.88690364,0.08771878,10.38799900779142N,106.38754104818193E
Go Cong Town-113.jpeg,0,0.8427829,0.9288454,0.08606250000000004,10.35496540433247N,106.66489235208823E
Long Hồ District-1327.jpeg,0,0.8458313,0.9318298,0.08599850000000009,10.221363642418622N,105.9345328281047E
Tây Ninh City-460.jpeg,0,0.7637749,0.67784965,0.08592525000000006,11.342085173390178N,106.15261624444578E
Duy Tiên District-1016.jpeg,0,0.82883406,0.9142902,0.08545614000000001,20.653732846109186N,105.97633018332745E
Châu Thành District-1979.jpeg,0,0.5805854,0.6652003,0.08461489999999994,10.305515674242878N,106.3991353897813E
Bac Giang City-785.jpeg,0,0.9200981,0.8380826,0.08201550000000002,21.30764907926667N,106.16491887386432E
Hiệp Hòa District-2311.jpeg,0,0.618747,0.53779054,0.08095646000000001,21.39957975209516N,105.963028808395E
Binh Minh Town-389.jpeg,0,0.7726935,0.851659,0.07896550000000002,10.031551339489868N,105.83510996854169E
Cai Lậy Town-813.jpeg,0,0.90858686,0.8300516,0.07853526,10.422147641326156N,106.18134424358063E
Hung Yen City-206.jpeg,0,0.82742363,0.9059306,0.07850697000000006,20.62869747445194N,106.09216507343562E
Chau Doc City-427.jpeg,0,0.8887676,0.96694684,0.07817923999999998,10.660750873194642N,105.12893301445428E
Vĩnh Long-320.jpeg,0,0.882951,0.958193,0.07524199999999992,10.251692338402854N,105.98566920975819E
Hiệp Hòa District-785.jpeg,0,0.7777829,0.8527451,0.07496219999999998,21.299867211639317N,105.96013569932849E
Long Xuyen City-600.jpeg,0,0.621949,0.6955918,0.07364280000000001,10.363703607209557N,105.40297128785494E
Phu Ly City-418.jpeg,0,0.8740032,0.9467553,0.07275209999999999,20.537024809672765N,105.90130015169233E
Phu Ly City-405.jpeg,0,0.85792816,0.9306764,0.07274823999999991,20.534329876146938N,105.9876389223711E
Châu Thành District-674.jpeg,0,0.9357333,0.8649355,0.07079780000000002,10.273176471933965N,106.25396913247211E
Mỹ Tho-309.jpeg,0,0.8711852,0.80090463,0.07028056999999999,10.350269938431016N,106.41493719836876E
Thanh Liêm District-1534.jpeg,0,0.91899717,0.8489334,0.07006377000000008,20.48547948130585N,105.96496709301856E
Thái Bình-589.jpeg,0,0.890703,0.9599918,0.06928879999999993,20.468892110801132N,106.3407024899221E
Phu Ly City-341.jpeg,0,0.61810815,0.5500382,0.06806994999999993,20.531634942621114N,105.92720178289593E
Chau Doc City-1204.jpeg,0,0.87471247,0.94271183,0.06799936000000006,10.725429277812513N,105.11247794207179E
Chau Doc City-592.jpeg,0,0.94262356,0.8748251,0.06779846,10.67153060729762N,105.13716055064552E
Thanh Liêm District-1241.jpeg,0,0.8746086,0.94139576,0.06678716000000007,20.46930988015091N,105.94195818304013E
Hung Yen City-752.jpeg,0,0.89911026,0.96484816,0.0657378999999999,20.693375879071755N,106.03744222441014E
Mỹ Hào District-301.jpeg,0,0.8619492,0.92528033,0.06333113000000001,20.917716409218183N,106.136808801113E
Hiệp Hòa District-1785.jpeg,0,0.89208204,0.9553863,0.06330426,21.356460815681825N,105.93699082679657E
Cai Lậy Town-133.jpeg,0,0.8327345,0.89532435,0.06258984999999995,10.373638837862776N,106.12380066850477E
Go Cong Town-102.jpeg,0,0.8756831,0.8131572,0.06252590000000002,10.352270470806724N,106.6922926409317E
Long Xuyen City-746.jpeg,0,0.8685159,0.92971724,0.06120133999999999,10.374483341312532N,105.43584763974263E
Yên Mỹ District-1055.jpeg,0,0.8509883,0.91146183,0.06047353,20.9286482126712N,106.03637638993158E
Bến Tre City-721.jpeg,0,0.8081978,0.7477601,0.06043769999999993,10.259669607754754N,106.35158502396442E
Binh Minh Town-739.jpeg,0,0.7974181,0.8572935,0.05987540000000002,10.061195608273023N,105.82689926470547E
Châu Thành District-677.jpeg,0,0.90231675,0.9621143,0.05979754999999998,10.273176471933965N,106.26218609043302E
Bac Giang City-624.jpeg,0,0.89373314,0.9535154,0.059782259999999976,21.291479478111672N,106.20540567787614E
Bac Giang City-587.jpeg,0,0.88577384,0.94367707,0.05790322999999997,21.28878454458584N,106.19672993415932E
Tam Điệp-625.jpeg,0,0.6072256,0.55205667,0.055168930000000005,20.157424543078324N,105.87803669181591E
Yên Mỹ District-1068.jpeg,0,0.87982357,0.93473047,0.05490689999999998,20.931343146197026N,106.02195317621951E
Hiệp Hòa District-1631.jpeg,0,0.67001444,0.72447944,0.054464999999999986,21.34837601510432N,105.90516662706519E
Bến Tre City-376.jpeg,0,0.8674709,0.9212982,0.05382729999999991,10.235415206023072N,106.36253914363303E
Long Hồ District-657.jpeg,0,0.5823902,0.6358325,0.053442300000000054,10.178244706006748N,105.87702452639412E
Bến Tre City-669.jpeg,0,0.8132818,0.86658853,0.05330672999999997,10.254279740703268N,106.398140032556E
Mỹ Tho-283.jpeg,0,0.86182773,0.9148009,0.052973170000000014,10.350269938431016N,106.34370720788299E
Tam Điệp-494.jpeg,0,0.89216053,0.94410753,0.051947000000000076,20.149339742500864N,105.89239082602198E
Bến Tre City-220.jpeg,0,0.8771473,0.9287046,0.05155730000000003,10.221940538394358N,106.36527767355018E
Long Hồ District-1152.jpeg,0,0.8782664,0.92933935,0.051072950000000006,10.20519404126417N,105.99751811093057E
Tam Điệp-550.jpeg,0,0.7806612,0.8316505,0.050989299999999904,20.15203467602668N,105.92971157495782E
Tam Điệp-127.jpeg,0,0.63568497,0.6866557,0.050970729999999964,20.12239040724266N,105.91248661391052E
Yên Mỹ District-335.jpeg,0,0.9079421,0.9587982,0.05085610000000007,20.877444475680452N,105.97579889234086E
Cao Lanh City-737.jpeg,0,0.884031,0.93436337,0.050332370000000015,10.45944340666201N,105.64957253710186E
Long Hồ District-2297.jpeg,0,0.90885943,0.95860666,0.04974723000000003,10.31029644876813N,105.99751811093057E
Cai Lậy Town-1567.jpeg,0,0.90931517,0.95895046,0.04963529,10.48143617889251N,106.0991391363294E
Phu Ly City-630.jpeg,0,0.8911803,0.93886155,0.04768125000000001,20.550499477301887N,105.9329577009412E
Binh Minh Town-784.jpeg,0,0.9073825,0.8598641,0.04751839999999996,10.066585475324505N,105.81047785703305E
Châu Thành District-515.jpeg,0,0.56767005,0.52047265,0.047197400000000056,10.267786604882478N,106.32244378214627E
Duy Tiên District-151.jpeg,0,0.9311467,0.88451374,0.046632959999999946,20.589054441489374N,105.97920979293177E
Tam Điệp-468.jpeg,0,0.9124891,0.9576921,0.04520299999999999,20.146644808975044N,105.92971157495782E
Bac Giang City-228.jpeg,0,0.89375305,0.84870803,0.0450450200000001,21.259140275801677N,106.19672993415932E
Thanh Liêm District-1037.jpeg,0,0.9094784,0.8646082,0.04487019999999997,20.458530146047615N,105.89594036308324E
Tam Điệp-92.jpeg,0,0.59062386,0.6340561,0.04343224000000001,20.119695473716842N,105.90961578706928E
Yên Mỹ District-285.jpeg,0,0.8714287,0.9147997,0.04337100000000005,20.872054608628797N,106.06233817461333E
Tam Điệp-304.jpeg,0,0.5067025,0.5495046,0.042802100000000065,20.135865074871763N,105.89239082602198E
Trà Vinh City-258.jpeg,0,0.63688254,0.59412336,0.04275918000000001,9.92840437241051N,106.32082124835838E
Duy Tiên District-20.jpeg,0,0.90512353,0.94788074,0.04275720999999999,20.564800039756957N,105.97057096411882E
Binh Minh Town-1060.jpeg,0,0.8600553,0.8190373,0.041018,10.096229744107665N,105.82689926470547E
Thanh Liêm District-636.jpeg,0,0.8968508,0.93746024,0.04060944,20.434275744315205N,105.96209097927128E
Vĩnh Long-537.jpeg,0,0.9600004,0.91966134,0.04033905999999998,10.267861939557308N,105.91720262130363E
Hiệp Hòa District-624.jpeg,0,0.89912134,0.9391478,0.040026459999999986,21.28908747753599N,105.94567015399605E
Long Xuyen City-794.jpeg,0,0.918658,0.95809746,0.03943945999999998,10.37987320836402N,105.38105371992981E
Long Xuyen City-408.jpeg,0,0.90780085,0.8686496,0.03915124999999997,10.344839072529355N,105.46598429563967E
Bến Tre City-738.jpeg,0,0.5351985,0.574336,0.039137499999999936,10.259669607754754N,106.398140032556E
Châu Thành District-1165.jpeg,0,0.93871194,0.90148586,0.03722608000000005,10.283956206036935N,106.42926423563793E
Go Cong Town-1236.jpeg,0,0.9359111,0.9730196,0.03710849999999999,10.476237412990915N,106.64297212101346E
Hiệp Hòa District-1995.jpeg,0,0.66287565,0.62596244,0.03691321000000003,21.36993548331099N,105.94856326306252E
Hung Yen City-99.jpeg,0,0.8467484,0.88338286,0.036634460000000035,20.62061267387446N,106.05760327405112E
Tây Ninh City-644.jpeg,0,0.75372547,0.7902372,0.036511729999999964,11.35825477454467N,106.07289991939739E
Mỹ Tho-411.jpeg,0,0.89921993,0.93525916,0.03603922999999998,10.358354739008245N,106.36288451301378E
