Unnamed: 0,image,pred,lon,lat,found_Anditi
258,Hiệp Hòa District-5435.jpeg,0.9643257558345796,105.8935941907992N,21.333553880712092E,['159.jpeg']
259,Sa Đéc City-1998.jpeg,0.9643113017082214,105.74223203920499N,10.33409200806352E,[]
260,Sa Đéc City-767.jpeg,0.9642379060387612,105.77373361069478N,10.289625604888732E,['910.jpeg']
261,Yên Mỹ District-3777.jpeg,0.9642113745212556,106.05512656775774N,20.917868478567776E,"['240.jpeg', '241.jpeg']"
262,Cao Lanh City-3056.jpeg,0.9641925618052484,105.58791183307821N,10.46348580695066E,['499.jpeg']
263,Tây Ninh City-2189.jpeg,0.964182749390602,106.15124182504802N,11.350169973967462E,[]
265,Bến Tre City-1622.jpeg,0.9641498997807504,106.40498635734843N,10.23676267278597E,['717.jpeg']
266,Duy Tiên District-2980.jpeg,0.9641228541731834,105.99504764575553N,20.638910711717042E,['310.jpeg']
267,Chau Doc City-3703.jpeg,0.964101068675518,105.12756175842237N,10.693090075503628E,"['471.jpeg', '472.jpeg']"
268,Trà Vinh City-919.jpeg,0.9640792608261108,106.30577269956223N,9.924361972121927E,[]
269,Go Cong Town-880.jpeg,0.9640436172485352,106.67037240985691N,10.365745138435459E,['858.jpeg']
270,Go Cong Town-1383.jpeg,0.9640097618103028,106.65804227987738N,10.379219806064183E,[]
271,Trà Vinh City-977.jpeg,0.9640019461512566,106.34271004660732N,9.925709438884796E,[]
272,Bến Tre City-3200.jpeg,0.9639937356114388,106.33926163933714N,10.267754408332031E,"['704.jpeg', '698.jpeg', '689.jpeg']"
273,Phu Ly City-192.jpeg,0.9639526829123496,105.90993402876035N,20.50468560736285E,['395.jpeg']
274,Tam Điệp-2234.jpeg,0.9639242440462112,105.89956789312502N,20.15338214278953E,[]
275,Trà Vinh City-1920.jpeg,0.963879220187664,106.34818224616954N,9.964785975008068E,[]
276,Mỹ Hào District-1167.jpeg,0.963824450969696,106.09208777598282N,20.91771640921813E,[]
277,Trà Vinh City-1864.jpeg,0.9638150930404664,106.3372378470451N,9.963438508245199E,['736.jpeg']
278,Tam Điệp-3622.jpeg,0.963813714683056,105.94406570916391N,20.17089921070733E,[]
279,Hiệp Hòa District-909.jpeg,0.9637787565588952,105.97749435372745N,21.25944320875178E,['169.jpeg']
280,Chau Doc City-2905.jpeg,0.9637759104371072,105.09465161365743N,10.680962874637771E,['464.jpeg']
281,Hiệp Hòa District-6697.jpeg,0.9637386202812196,105.9442235994628N,21.349723481867073E,[]
283,Hiệp Hòa District-4404.jpeg,0.9636795297265052,105.93265116319684N,21.318731746320022E,['157.jpeg']
284,Long Hồ District-4672.jpeg,0.9635997638106346,105.94822528089293N,10.207888974789961E,[]
286,Hiệp Hòa District-2951.jpeg,0.963541217148304,106.0266772078578N,21.295824811350474E,[]
287,Phu Ly City-3683.jpeg,0.963534578680992,105.90993402876035N,20.574753879034187E,"['347.jpeg', '346.jpeg']"
288,Hiệp Hòa District-7315.jpeg,0.9634846821427344,106.0107651079921N,21.357808282444562E,[]
290,Yên Mỹ District-1153.jpeg,0.963469848036766,106.0205108548486N,20.873402075391663E,[]
293,Yên Mỹ District-4066.jpeg,0.9633795693516732,106.04647263953045N,20.92460581238234E,"['238.jpeg', '239.jpeg']"
294,Phu Ly City-2042.jpeg,0.9633743762969972,105.91712892631695N,20.542414676724338E,"['631.jpeg', '634.jpeg']"
296,Bac Giang City-2458.jpeg,0.9633132442831992,106.23721673817117N,21.290132011348653E,[]
297,Hiệp Hòa District-4005.jpeg,0.9632993116974832,106.01799788065833N,21.311994412505456E,['181.jpeg']
298,Go Cong Town-1365.jpeg,0.9632837176322936,106.63338201991824N,10.379219806064183E,[]
300,Go Cong Town-3622.jpeg,0.9632222205400468,106.61420181772779N,10.430423543053335E,[]
302,Long Hồ District-5754.jpeg,0.9632125645875932,105.98382565814235N,10.229448442995913E,[]
303,Go Cong Town-1588.jpeg,0.963189110159874,106.6662623665304N,10.384609673115675E,[]
304,Hiệp Hòa District-957.jpeg,0.9631724581122398,105.97315469012771N,21.260790675514695E,['170.jpeg']
305,Hoa Lư District-551.jpeg,0.9631685242056848,105.92485544577856N,20.20068670784212E,[]
306,Tam Điệp-2520.jpeg,0.9630801379680634,105.90961578706928N,20.15742454307825E,"['890.jpeg', '893.jpeg']"
307,Duy Tiên District-1840.jpeg,0.963060848414898,105.99072823134907N,20.622741110562114E,[]
309,Chau Doc City-1374.jpeg,0.9630401656031607,105.12070547826302N,10.655361006143185E,['960.jpeg']
310,Cai Lậy Town-4438.jpeg,0.9630197659134864,106.11283998753794N,10.445054576295032E,[]
311,Yên Mỹ District-3493.jpeg,0.9630074054002762,106.03637638993193N,20.912478611516125E,"['266.jpeg', '267.jpeg']"
312,Mỹ Hào District-2238.jpeg,0.962975300848484,106.03438322742775N,20.93927587742473E,[]
313,Châu Thành District-6365.jpeg,0.9629569500684738,106.29916240125785N,10.296083406902813E,[]
315,Chau Doc City-4650.jpeg,0.9629189223051072,105.11522045413554N,10.714649543709605E,['466.jpeg']
316,Duy Tiên District-4046.jpeg,0.9629177302122116,105.97633018332745N,20.65373284610907E,['314.jpeg']
317,Thái Bình-2278.jpeg,0.96290884912014,106.31481617319312N,20.46754464403813E,[]
318,Phu Ly City-1582.jpeg,0.9628662019968032,105.98619994286031N,20.53432987614687E,"['357.jpeg', '358.jpeg']"
319,Hiệp Hòa District-3436.jpeg,0.9628614038228988,105.99919267172614N,21.303909611927963E,['179.jpeg']
320,Trà Vinh City-1018.jpeg,0.9628560170531272,106.32492539803008N,9.92840437241054E,[]
322,Hiệp Hòa District-684.jpeg,0.9628360942006112,105.96013569932848N,21.25270587493721E,[]
323,Go Cong Town-2835.jpeg,0.9628285318613052,106.67722248206778N,10.415601408661741E,[]
324,Duy Tiên District-2962.jpeg,0.9627909064292908,105.96913115931666N,20.638910711717042E,['338.jpeg']
325,Duy Tiên District-2232.jpeg,0.9627844914793968,106.00944569377715N,20.62813097761375E,"['316.jpeg', '315.jpeg']"
326,Duy Tiên District-3644.jpeg,0.9627796411514282,105.95905252570155N,20.64834297905743E,['618.jpeg']
