Unnamed: 0,image,pred,lat,lon,found_Anditi
7740,Cao Lanh City-2139.jpeg,0.8854760304093361,10.444621272270446N,105.6070951632189E,[]
7742,Trà Vinh City-1713.jpeg,0.8854700401425362,9.95939610795658N,106.31808514857725E,[]
7743,Long Hồ District-2370.jpeg,0.8854688033461571,10.174202305718163N,105.93316358282588E,[]
7744,Go Cong Town-1341.jpeg,0.8854651972651482,10.37787233930131N,106.67174242429908E,[]
7750,Cai Lậy Town-5003.jpeg,0.8853498697280884,10.454486843635143N,106.16627330725123E,[]
7752,Cai Lậy Town-2915.jpeg,0.885296031832695,10.415410307511838N,106.1827143287015E,[]
7754,Long Hồ District-7237.jpeg,0.8852799832820892,10.272567379407823N,106.02216452594939E,[]
7758,Châu Thành District-5612.jpeg,0.8852413892745972,10.290693539851324N,106.41009133373053E,[]
7760,Long Hồ District-5586.jpeg,0.8852260634303093,10.226753509470168N,105.94548679033528E,[]
7761,Cao Lanh City-5059.jpeg,0.885225422680378,10.505257276599714N,105.6112058768205E,[]
7764,Trà Vinh City-2097.jpeg,0.8851771652698517,9.970175842059554N,106.31261294901503E,[]
7766,Tây Ninh City-3252.jpeg,0.8851096034049988,11.369034508647713N,106.10313714613972E,[]
7767,Phu Ly City-1970.jpeg,0.8851036950945854,20.541067209961426N,105.92720178289618E,[]
7768,Duy Tiên District-2656.jpeg,0.8850671350955963,20.63486831142831N,105.93601564886697E,[]
7769,Cao Lanh City-1396.jpeg,0.8850556761026382,10.432494071404587N,105.6112058768205E,[]
7771,Duy Tiên District-1642.jpeg,0.8849784880876541,20.62004617703629N,105.96913115931666E,[]
